Date,Open,High,Low,Close,Volume,RSI(5),RSI(7),RSI(10),RSI(14),RSI(21),DIF,MACD,MACD_Histogram,RSV,K,D,J,MA5,MA10,MA20,MA60,EMA12,EMA26,BB_Upper,BB_Middle,BB_Lower,ATR,CCI,WILLR,MOM
2000-01-04,69.65,69.65,68.48,69.65,200662336736,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-05,69.65,71.21,68.87,71.21,402466805912,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-06,70.82,71.21,69.65,69.65,197545715802,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-07,67.3,68.48,66.52,67.69,235270344752,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-10,69.65,70.43,68.48,70.04,276171685539,,,,,,,,,,,,,69.65,,,,,,,,,,,,
2000-01-11,70.82,71.61,68.48,68.87,277769544650,45.45,,,,,,,,,,,,69.49,,,,,,,,,,,,
2000-01-12,69.26,70.82,68.87,70.82,216246806621,57.52,,,,,,,,,,,,69.41,,,,,,,,,,,,
2000-01-13,70.82,70.82,69.65,69.65,147490954216,49.34,50.0,,,,,,,,,,,69.41,,,,,,,,,,,,
2000-01-14,70.43,72.39,70.04,71.21,288318964353,59.05,56.73,,,,,,,80.0,80.0,80.0,80.0,70.12,,,,,,,,,,,,
2000-01-17,74.34,74.34,73.17,73.17,155256940719,68.49,63.83,,,,,,,85.0,81.67,80.56,83.89,70.74,70.2,,,,,,,,,,,
2000-01-18,73.17,73.17,71.61,72.0,131648031590,58.39,57.25,57.14,,,,,,70.0,77.78,79.63,74.07,71.37,70.43,,,,,,,,,,,2.35
2000-01-19,72.0,73.17,71.61,72.0,134848688061,58.39,57.25,57.14,,,,,,70.0,75.19,78.15,69.26,71.61,70.51,,,70.5,,,,,,,,0.78
2000-01-20,72.0,72.0,70.82,71.21,125758120596,50.62,52.36,53.97,,,,,,46.66,65.68,73.99,49.05,71.92,70.67,,,70.61,,,,,,,,1.57
2000-01-21,71.21,72.78,71.21,72.78,113397441219,62.95,60.28,59.02,,,,,,73.33,68.23,72.07,60.54,72.23,71.17,,,70.94,,,,,,83.61,,5.09
2000-01-24,73.56,74.74,73.17,73.56,175113122879,67.95,63.79,61.38,60.0,,,,,80.0,72.15,72.1,72.26,72.31,71.53,,,71.34,,,,,2.12,136.99,,3.52
2000-01-25,75.52,75.52,74.34,75.52,223692148326,77.46,71.22,66.7,63.89,,,,,100.0,81.43,75.21,93.88,73.01,72.19,,,71.99,,,,,2.11,158.17,,6.65
2000-01-26,77.87,80.6,77.87,80.6,357880999032,88.52,82.26,76.18,71.62,,,,,100.0,87.62,79.35,104.17,74.74,73.17,,,73.31,,,,,2.32,243.26,,9.78
2000-01-27,81.39,82.56,79.82,81.39,287927232252,89.51,83.4,77.29,72.59,,,,,90.0,88.42,82.37,100.51,76.77,74.34,,,74.55,,,,,2.35,209.41,,11.74
2000-01-28,78.65,79.82,78.65,79.82,197904810671,73.64,72.5,70.06,67.6,,,,,76.67,84.5,83.08,87.34,78.18,75.21,,,75.37,,,,,2.38,128.57,,8.61
2000-01-31,77.47,79.82,77.08,79.43,168059342623,69.77,69.84,68.29,66.37,,,,,73.33,80.78,82.31,77.71,79.35,75.83,73.01,,75.99,,81.1,73.01,64.93,2.41,91.7,-19.51,6.26
2000-02-01,80.21,80.21,78.65,79.04,153081850577,65.47,66.98,66.42,65.1,,,,,70.0,77.18,80.6,70.35,80.06,76.54,73.48,,76.46,,81.82,73.48,65.15,2.35,85.13,-21.95,7.04
2000-02-02,79.04,79.04,79.04,79.04,0,65.47,66.98,66.42,65.1,65.79,,,,68.97,74.45,78.55,66.23,79.74,77.24,73.87,,76.86,,82.48,73.87,65.27,2.18,66.98,-21.95,7.04
2000-02-03,79.04,79.04,79.04,79.04,0,65.47,66.98,66.42,65.1,65.79,,,,62.5,70.46,75.85,59.68,79.27,78.02,74.34,,77.19,,83.0,74.34,65.69,2.02,57.2,-21.95,7.83
2000-02-04,79.04,79.04,79.04,79.04,0,65.47,66.98,66.42,65.1,65.79,,,,57.14,66.02,72.58,52.91,79.12,78.65,74.91,,77.48,,83.23,74.91,66.59,1.88,49.93,-25.0,6.26
2000-02-07,79.04,79.04,79.04,79.04,0,65.47,66.98,66.42,65.1,65.79,,,,35.72,55.92,67.03,33.71,79.04,79.2,75.36,,77.72,,83.55,75.36,67.17,1.74,43.68,-25.0,5.48
2000-02-08,79.04,79.04,79.04,79.04,0,65.47,66.98,66.42,65.1,65.79,,,,35.72,49.19,61.08,25.4,79.04,79.55,75.87,,77.92,74.4,83.63,75.87,68.11,1.62,38.12,-25.71,3.52
2000-02-09,83.74,83.74,81.0,82.56,252580321587,88.92,82.91,77.05,72.5,70.28,,,,82.35,60.24,60.8,59.13,79.74,79.74,76.46,,78.63,75.01,84.38,76.46,68.54,1.84,135.79,-8.33,1.96
2000-02-10,81.78,84.13,81.0,83.74,177540543615,91.36,85.61,79.46,74.45,71.59,,,,94.45,71.64,64.41,86.1,80.68,79.98,77.16,,79.42,75.66,85.04,77.16,69.28,1.93,174.15,-2.78,2.35
2000-02-11,84.91,86.87,84.13,85.69,215027859365,94.08,88.99,82.8,77.33,73.62,,,,85.72,76.33,68.39,92.23,82.01,80.57,77.89,,80.38,76.4,86.1,77.89,69.67,2.02,212.09,-7.32,5.87
2000-02-14,85.3,85.3,83.74,83.74,140301270822,67.51,69.84,70.12,68.96,68.48,,,,60.0,70.89,69.22,74.22,82.95,81.0,78.41,,80.9,76.94,86.7,78.41,70.12,2.01,127.21,-19.51,4.3
2000-02-15,83.74,84.91,82.95,84.13,105105248690,69.65,71.28,71.11,69.67,68.94,,,,65.0,68.93,69.12,68.53,83.97,81.5,79.02,,81.4,77.47,87.12,79.02,70.92,2.01,96.27,-17.07,5.09
2000-02-16,84.13,84.52,83.34,83.34,79352313450,59.8,64.13,66.26,66.41,66.91,,,,55.0,64.28,67.51,57.83,84.13,81.94,79.59,,81.7,77.91,87.21,79.59,71.96,1.95,75.28,-21.95,4.3
2000-02-17,82.56,83.34,82.17,82.56,116400258474,50.81,57.41,61.6,63.23,64.9,,,,45.0,57.86,64.29,44.98,83.89,82.29,80.15,,81.83,78.25,86.83,80.15,73.48,1.89,38.71,-27.5,3.52
2000-02-18,82.95,83.74,81.0,81.39,121805090619,39.64,48.51,55.13,58.68,61.98,3.48,4.16,-0.67,30.0,48.57,59.05,27.61,83.03,82.52,80.59,,81.76,78.49,86.35,80.59,74.82,1.95,14.2,-40.0,2.35
