Date,Open,High,Low,Close,Volume,RSI(5),RSI(7),RSI(10),RSI(14),RSI(21),DIF,MACD,MACD_Histogram,RSV,K,D,J,MA5,MA10,MA20,MA60,EMA12,EMA26,BB_Upper,BB_Middle,BB_Lower,ATR,CCI,WILLR,MOM
1980-12-12,0.13,0.13,0.13,0.13,469033600,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-15,0.12,0.12,0.12,0.12,175884800,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-16,0.11,0.11,0.11,0.11,105728000,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-17,0.12,0.12,0.12,0.12,86441600,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-18,0.12,0.12,0.12,0.12,73449600,,,,,,,,,,,,,0.12,,,,,,,,,,,,
1980-12-19,0.13,0.13,0.13,0.13,48630400,46.15,,,,,,,,,,,,0.12,,,,,,,,,,,,
1980-12-22,0.13,0.13,0.13,0.13,37363200,57.41,,,,,,,,,,,,0.12,,,,,,,,,,,,
1980-12-23,0.14,0.14,0.14,0.14,46950400,65.59,61.64,,,,,,,,,,,0.13,,,,,,,,,,,,
1980-12-24,0.15,0.15,0.15,0.15,48003200,73.77,68.24,,,,,,,98.31,98.31,98.31,98.31,0.13,,,,,,,,,,,,
1980-12-26,0.16,0.16,0.16,0.16,55574400,83.07,76.83,,,,,,,98.8,98.47,98.36,98.69,0.14,0.13,,,,,,,,,,,
1980-12-29,0.16,0.16,0.16,0.16,93161600,84.23,77.98,75.44,,,,,,98.85,98.6,98.44,98.91,0.15,0.13,,,,,,,,,,,0.03
1980-12-30,0.16,0.16,0.16,0.16,68880000,73.22,70.77,70.62,,,,,,90.24,95.81,97.56,92.31,0.15,0.14,,,0.13,,,,,,,,0.04
1980-12-31,0.15,0.15,0.15,0.15,35750400,61.7,63.0,65.32,,,,,,78.95,90.19,95.11,80.36,0.15,0.14,,,0.14,,,,,,,,0.04
1981-01-02,0.15,0.16,0.15,0.15,21660800,64.33,64.69,66.37,,,,,,79.37,86.58,92.26,75.22,0.16,0.14,,,0.14,,,,,,75.52,,0.04
1981-01-05,0.15,0.15,0.15,0.15,35728000,54.9,58.44,62.19,64.49,,,,,63.46,78.88,87.8,61.03,0.15,0.15,,,0.14,,,,,0.01,51.91,,0.03
1981-01-06,0.14,0.14,0.14,0.14,45158400,40.18,47.69,54.54,58.97,,,,,26.19,61.31,78.97,26.0,0.15,0.15,,,0.14,,,,,0.01,16.83,,0.02
1981-01-07,0.14,0.14,0.14,0.14,55686400,30.73,39.85,48.47,54.37,,,,,0.0,40.88,66.27,-9.92,0.15,0.15,,,0.14,,,,,0.01,-24.0,,0.01
1981-01-08,0.14,0.14,0.14,0.14,39827200,27.11,36.65,45.89,52.38,,,,,0.0,27.25,53.27,-24.78,0.14,0.15,,,0.14,,,,,0.01,-54.18,,-0.0
1981-01-09,0.14,0.14,0.14,0.14,21504000,47.29,49.05,53.1,56.82,,,,,27.66,27.39,44.64,-7.12,0.14,0.15,,,0.14,,,,,0.01,-22.43,,-0.0
