Date,Open,High,Low,Close,Adj Close,Volume,RSI(5),RSI(7),RSI(10),RSI(14),RSI(21),DIF,MACD,MACD_Histogram,RSV,K,D,J,MA5,MA10,MA20,MA60,EMA12,EMA26,BB_Upper,BB_Middle,BB_Lower,ATR,CCI,WILLR,MOM
2002-05-23,1.16,1.24,1.15,1.2,1.1964290142059326,104790000,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-24,1.21,1.23,1.2,1.21,1.2100000381469727,11104800,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-28,1.21,1.23,1.16,1.16,1.157142996788025,6609400,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-29,1.16,1.16,1.09,1.1,1.1035710573196411,6757800,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-30,1.11,1.11,1.07,1.07,1.0714290142059326,10154200,,,,,,,,,,,,,1.15,,,,,,,,,,,,
2002-05-31,1.08,1.08,1.07,1.08,1.076429009437561,8464400,11.82,,,,,,,,,,,,1.12,,,,,,,,,,,,
2002-06-03,1.08,1.15,1.08,1.13,1.1285710334777832,3151400,37.67,,,,,,,,,,,,1.11,,,,,,,,,,,,
2002-06-04,1.14,1.14,1.11,1.12,1.1178569793701172,3105200,35.03,32.14,,,,,,,,,,,1.1,,,,,,,,,,,,
2002-06-05,1.11,1.16,1.11,1.15,1.147143006324768,1531600,47.58,41.26,,,,,,,44.17,44.17,44.17,44.17,1.11,,,,,,,,,,,,
2002-06-06,1.15,1.23,1.15,1.18,1.182142972946167,2305800,59.31,50.54,,,,,,,68.89,52.41,46.91,63.39,1.13,1.14,,,,,,,,,,,
2002-06-07,1.18,1.18,1.1,1.12,1.1185710430145264,1369200,39.32,37.87,38.81,,,,,,29.33,44.72,46.18,41.79,1.14,1.13,,,,,,,,,,,-0.08
2002-06-10,1.13,1.17,1.13,1.16,1.1564290523529053,484400,51.49,47.08,45.41,,,,,,52.89,47.44,46.6,49.12,1.14,1.13,,,1.14,,,,,,,,-0.05
2002-06-11,1.16,1.19,1.13,1.15,1.1535710096359253,1003800,50.54,46.48,45.0,,,,,,51.11,48.66,47.29,51.41,1.15,1.13,,,1.14,,,,,,,,-0.0
2002-06-12,1.15,1.18,1.09,1.09,1.092857003211975,1799000,33.84,35.22,37.14,,,,,,13.33,36.89,43.82,23.02,1.14,1.12,,,1.13,,,,,,-42.96,,-0.01
2002-06-13,1.1,1.12,1.08,1.08,1.0828570127487183,2567600,31.69,33.65,35.99,37.64,,,,,4.13,25.97,37.87,2.16,1.12,1.13,,,1.13,,,,,0.06,-87.26,,0.01
2002-06-14,1.08,1.09,0.98,0.99,0.98642897605896,4783800,17.93,22.43,27.02,30.7,,,,,2.55,18.16,31.3,-8.12,1.09,1.12,,,1.1,,,,,0.06,-217.89,,-0.09
2002-06-17,1.01,1.06,0.92,0.92,0.9221429824829102,4855200,13.17,17.81,22.81,27.11,,,,,1.36,12.56,25.05,-12.42,1.05,1.1,,,1.08,,,,,0.07,-222.16,,-0.21
2002-06-18,0.94,0.94,0.84,0.91,0.9107139706611633,10808000,12.43,17.08,22.13,26.51,,,,,17.58,14.24,21.45,-0.19,1.0,1.08,,,1.05,,,,,0.07,-218.43,,-0.21
2002-06-19,0.91,1.0,0.89,0.95,0.951429009437561,5482400,29.85,29.15,30.36,32.21,,,,,31.55,20.01,20.97,18.08,0.97,1.06,,,1.04,,,,,0.07,-124.85,,-0.2
2002-06-20,0.97,1.04,0.95,0.96,0.9571430087089539,6111000,32.21,30.8,31.49,32.99,,,,,33.2,24.4,22.11,28.98,0.95,1.03,1.09,,1.02,,1.27,1.09,0.91,0.07,-76.44,-71.3,-0.22
2002-06-21,0.98,0.99,0.95,0.98,0.9792860150337219,2346400,41.73,37.38,35.96,36.08,,,,,39.59,29.46,24.56,39.27,0.94,1.02,1.08,,1.02,,1.25,1.08,0.9,0.07,-71.27,-64.84,-0.14
2002-06-24,0.98,1.01,0.96,0.98,0.9785709977149963,2567600,41.5,37.25,35.88,36.02,34.45,,,,40.13,33.02,27.38,44.29,0.96,1.0,1.06,,1.01,,1.24,1.06,0.89,0.07,-53.85,-65.02,-0.18
2002-06-25,0.99,1.01,0.95,0.96,0.9642860293388367,3941000,36.38,34.38,34.11,34.82,33.73,,,,43.62,36.55,30.44,48.78,0.97,0.98,1.05,,1.0,,1.23,1.05,0.88,0.07,-54.03,-68.68,-0.19
2002-06-26,0.96,1.0,0.92,0.99,0.9885709881782532,2924600,49.59,43.07,39.72,38.57,36.12,,,,60.12,44.41,35.09,63.03,0.97,0.97,1.05,,1.0,,1.22,1.05,0.88,0.07,-50.71,-62.45,-0.1
2002-06-27,1.01,1.02,0.94,0.94,0.9435709714889526,3817800,33.48,33.49,33.79,34.6,33.75,,,,46.71,45.18,38.46,58.62,0.97,0.96,1.04,,0.99,,1.22,1.04,0.86,0.07,-45.67,-73.99,-0.14
2002-06-28,0.96,1.01,0.96,1.0,0.9992859959602356,9234400,55.73,49.66,45.07,42.49,38.96,,,,79.42,56.59,44.5,80.77,0.97,0.96,1.04,,0.99,1.06,1.22,1.04,0.86,0.07,-14.4,-59.71,0.01
2002-07-01,1.0,1.05,0.99,1.03,1.0278569459915161,4585000,63.55,56.05,49.93,46.08,41.43,,,,87.91,67.03,52.01,97.07,0.98,0.97,1.03,,1.0,1.06,1.21,1.03,0.86,0.07,47.97,-52.38,0.11
2002-07-02,1.05,1.2,1.04,1.17,1.1728570461273193,9020200,82.81,74.91,66.6,59.79,51.84,,,,91.91,75.32,59.78,106.4,1.03,1.0,1.04,,1.03,1.07,1.22,1.04,0.86,0.08,225.03,-15.2,0.26
2002-07-03,1.18,1.21,1.12,1.21,1.214285969734192,4957400,85.54,78.05,69.79,62.71,54.28,,,,100.0,83.55,67.7,115.24,1.07,1.02,1.04,,1.05,1.08,1.23,1.04,0.85,0.08,238.4,-4.58,0.26
2002-07-05,1.21,1.3,1.21,1.28,1.2764290571212769,2003400,88.85,82.0,73.94,66.63,57.66,,,,93.95,87.02,74.14,112.77,1.14,1.05,1.04,,1.09,1.09,1.25,1.04,0.84,0.08,215.32,-5.0,0.32
2002-07-08,1.25,1.25,1.17,1.18,1.1757140159606934,1953000,60.67,61.2,59.27,56.31,51.22,,,,67.3,80.44,76.24,88.85,1.17,1.07,1.05,,1.1,1.1,1.26,1.05,0.83,0.08,119.35,-27.03,0.2
2002-07-09,1.17,1.2,1.11,1.16,1.160714030265808,2935800,57.28,58.62,57.39,54.95,50.34,,,,63.33,74.74,75.74,72.73,1.2,1.09,1.05,,1.11,1.1,1.26,1.05,0.83,0.08,72.32,-30.31,0.18
2002-07-10,1.16,1.18,1.13,1.16,1.1635710000991821,1554000,57.84,59.01,57.67,55.17,50.51,,,,61.92,70.47,73.98,63.43,1.2,1.11,1.05,,1.12,1.11,1.26,1.05,0.83,0.08,61.18,-29.69,0.2
2002-07-11,1.15,1.28,1.13,1.27,1.269286036491394,2529800,73.75,70.74,66.79,62.55,56.32,0.02,-0.03,0.05,91.14,77.36,75.11,81.86,1.21,1.14,1.06,,1.14,1.12,1.29,1.06,0.82,0.08,91.31,-6.56,0.28
2002-07-12,1.28,1.28,1.21,1.21,1.2078570127487183,2837800,57.88,59.24,58.64,56.71,52.56,0.02,-0.02,0.04,70.16,74.96,75.06,74.76,1.2,1.17,1.06,,1.15,1.13,1.31,1.06,0.82,0.08,82.68,-20.0,0.26
2002-07-15,1.24,1.25,1.08,1.14,1.1428569555282593,4239200,45.06,49.34,51.27,51.25,48.93,0.02,-0.01,0.03,39.83,63.25,71.12,47.51,1.19,1.18,1.07,,1.15,1.13,1.31,1.07,0.83,0.09,27.82,-34.22,0.14
2002-07-16,1.15,1.16,1.1,1.13,1.1264289617538452,1941800,42.12,47.03,49.53,49.94,48.04,0.02,-0.01,0.02,22.44,49.65,63.96,21.01,1.18,1.19,1.08,,1.15,1.13,1.32,1.08,0.85,0.09,1.23,-37.81,0.1
2002-07-17,1.14,1.16,1.08,1.09,1.089285969734192,1261400,35.54,41.84,45.62,47.02,46.08,0.01,-0.0,0.01,6.07,35.12,54.35,-3.34,1.17,1.18,1.09,,1.14,1.12,1.31,1.09,0.87,0.09,-28.09,-51.67,-0.08
2002-07-18,1.12,1.17,1.11,1.15,1.1492860317230225,2899400,50.99,51.85,52.36,51.92,49.58,0.01,0.0,0.01,36.01,35.42,48.04,10.18,1.14,1.18,1.1,,1.14,1.13,1.31,1.1,0.89,0.09,-10.21,-39.7,-0.06
